#;QTY;REFDES;MANUFACTURER;PARTNO;VALUE;PACKAGE;SUPPLIER;ORDER #;
100;7;R26,RS1,RS2,RS3,RS7,RS9,RS10;ROYAL OHM;4D02WGJ0330T;33;RESC1005X40N;AVNET;;
101;13;R36,R37,R38,R39,R86,R87,R194,R195,R196,R198,R204,R205,R206;ROYAL OHM;0402WGF0103T1E;10K;RESC1005X40N;AVNET;;
102;2;R41,R88;ROYAL OHM;0402WGF0153T1E;15K;RESC1005X40N;AVNET;;
103;7;R42,R197,R199,R200,R201,R202,R203;ROYAL OHM;0402WGF0181T1E;180R;RESC1005X40N;AVNET;;
104;4;R43,R44,R45,R46;ROYAL OHM;0402WGJ0101T1E;100R;RESC1005X40N;;;
105;2;R49,R50;ROYAL OHM;0402WGF499JT1E;49R9;RESC1005X40N;;;
106;2;R55,R304;ROYAL OHM;0402WGF249JTIE;249R;RESC1005X40N;;;
107;8;R57,R58,R93,R95,R118,R120,R127,R129;ROYAL OHM;0402WGF0392T1E;3K9;RESC1005X40N;;;
108;4;R59,R94,R119,R128;ROYAL OHM;0402WGF0682T1E;6K8;RESC1005X40N;;;
109;4;R79,R92,R122,R125;ROYAL OHM;0402WGF0151T1E;150R;RESC1005X40N;;;
110;17;R89,R165,R166,R173,R174,R175,R209,R210,R211,R212,R224,R225,R226,R231,R232,R233,R234;ROYAL OHM;0402WGF0472T1E;4K7;RESC1005X40N;;;
111;2;R97,R98;ROYAL OHM;0402WGF0512T1E;5K1;RESC1005X40N;;;
112;12;R103,R104,R107,R108,R115,R116,R136,R137,R176,R178,R184,R186;ROYAL OHM;0402WGF1000T1E;100R;RESC1005X40N;;;
113;2;R106,R113;ROYAL OHM;0402WGF8201T1E;82K;RESC1005X40N;;;
114;2;R121,R126;ROYAL OHM;0402WGF5101T1E;5K1;RESC1005X40N;;;
115;1;R143;ROYAL OHM;0402WGF6342T1E;63K4;RESC1005X40N;;;
116;1;R146;ROYAL OHM;0402WGF1581T1E;1K58;RESC1005X40N;;;
117;1;R147;ROYAL OHM;0402WGF6982T1E;6K98;RESC1005X40N;;;
118;1;R148;ROYAL OHM;0402WGF4752T1E;4K75;RESC1005X40N;;;
119;1;R149;ROYAL OHM;0402WGF1021T1E;1K02;RESC1005X40N;;;
120;1;R159;ROYAL OHM;0402WGF0393T1E;39K;RESC1005X40N;;;
121;1;R160;ROYAL OHM;0402WGF0563T1E;56K;RESC1005X40N;;;
122;1;R164;ROYAL OHM;0402WGF0330T1E;33R;RESC1005X40N;;;
123;2;R168,R169;ROYAL OHM;0402WGF0121T1E;120R;RESC1005X40N;;;
124;13;R170,R171,R172,R238,R243,R245,R247,R249,R252,R268,R269,R270,R271;ROYAL OHM;0402WGF0222T1E;2K2;RESC1005X40N;;;
125;1;R177;ROYAL OHM;0402WGF5361T1E;5K36;RESC1005X40N;;;
126;1;R179;ROYAL OHM;0402WGF2372T1E;2K37;RESC1005X40N;;;
127;1;R182;ROYAL OHM;0402WGF3401T1E;3K4;RESC1005X40N;AVNET;;
128;1;R185;VISHAY;AC05000001009JLB00;10R;VISHAY_AC05;;;
129;1;R187;VISHAY;AC05000005609JLB00;56R;VISHAY_AC05;;;
130;8;R213,R218,R219,R278,R279,R280,R283,R285;ROYAL OHM;0402WGF0103T1E;100K;RESC1005X40N;;;
131;2;R214,R217;ROYAL OHM;0402WGF3601T1E;3K6;RESC1005X40N;;;
132;2;R215,R216;ROYAL OHM;0402WGF01821T1E;1K8;RESC1005X40N;;;
133;1;R220;ROYAL OHM;0402WGF4421T1E;4K42;RESC1005X40N;;;
134;1;R221;ROYAL OHM;0402WGF1101T1E;1K1;RESC1005X40N;;;
135;5;R244,R246,R248,R250,R251;ROYAL OHM;0402WGF0331T1E;330R;RESC1005X40N;;;
136;1;R253;ROYAL OHM;0402WGF9761T1E;9K76;RESC1005X40N;;;
