Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C216     Top                               130.956   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C217     Top                               135.156   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C218     Top                               139.156   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C219     Top                               143.156   -136.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C220     Bottom                            138.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C221     Top                                98.956   -127.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C222     Top                                98.956   -125.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C223     Bottom                            144.456    -97.239 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C224     Top                                98.956   -123.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C225     Bottom                            144.356    -99.239 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C226     Bottom                            144.356   -100.239 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C227     Bottom                            174.778      0.480 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C228     Top                                98.956   -121.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C229     Top                                98.956   -119.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C230     Top                                98.956   -111.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C231     Top                                98.956   -109.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C232     Top                                98.956   -107.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C233     Top                                98.956   -105.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C234     Top                                98.956   -117.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C235     Top                                98.956   -129.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C236     Top                               104.956   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C237     Top                               108.956   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C238     Top                               112.956   -136.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C239     Bottom                            180.899      0.505 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C241     Bottom                            179.325      1.293 90         0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C242     Bottom                            177.572      0.480 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C243     Bottom                            191.009      0.505 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C244     Bottom                            192.710      1.191 90         0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C246     Bottom                            194.336      0.505 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C247     Bottom                            188.011      0.505 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C248     Top                                84.756    -72.139 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C249     Top                               134.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C250     Top                               133.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C251     Top                               136.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C252     Top                               135.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C253     Top                               149.956    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C254     Top                               148.956    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C255     Top                               151.856    -87.139 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C256     Top                               152.856    -87.139 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
